18;A = ;1587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Результат корректный;;;
;C = ;23366;;;2^n;32768;16384;8192;4096;0;2048;1024;512;256;0;128;64;32;16;0;8;4;2;1;;;;;;;;;При сложении положитель-ных чисел получен отрицательный результат – ПЕРЕПОЛНЕНИЕ!;;;
;;Прямой код;Дополнительный код;;Номер разряда n;15;14;13;12;.;11;10;9;8;.;7;6;5;4;.;3;2;1;0;;;;;;;;;Результат корректный. Перенос из старшего разряда не учитывается;;;
X1 = ;A = ;1587;;B1 =;;0;0;0;0;.;0;1;1;0;.;0;0;1;1;.;0;0;1;1;;;;;;;;;При сложении отрицатель-ных чисел получен положительный результат – ПЕРЕПОЛНЕНИЕ!;;;
X2 = ;C = ;23366;;B2 =;;0;1;0;1;.;1;0;1;1;.;0;1;0;0;.;0;1;1;0;;;;;;;;;;;;
X3 = ;A + C = ;24953;;B3 =;;0;1;1;0;.;0;0;0;1;.;0;1;1;1;.;1;0;0;1;;;;;;;;;;;;
X4 = ;A + C + C = ;48319;;B4 =;;1;0;1;1;.;1;1;0;0;.;1;0;1;1;.;1;1;1;1;;;;;;;;;;;;
X5 = ;C - A =;21779;;B5 =;;0;1;0;1;.;0;1;0;1;.;0;0;0;1;.;0;0;1;1;;;;;;;;;;;;
X6 = ;65536 - X4 =;17217;;B6 =;;0;1;0;0;.;0;0;1;1;.;0;1;0;0;.;0;0;0;1;;;;;;;;;;;;
X7 = ;-X1 = ;-1587;63949;B7 =;-B1 =;1;1;1;1;.;1;0;0;1;.;1;1;0;0;.;1;1;0;1;;;;;;;;;;;;
X8 = ;-X2 = ;-23366;42170;B8 =;-B2 =;1;0;1;0;.;0;1;0;0;.;1;0;1;1;.;1;0;1;0;;;;;;;;;;;;
X9 = ;-X3 = ;-24953;40583;B9 =;-B3 =;1;0;0;1;.;1;1;1;0;.;1;0;0;0;.;0;1;1;1;;;;;;;;;;;;
X10 = ;-X4 = ;-48319;17217;B10 =;-B4 =;0;1;0;0;.;0;0;1;1;.;0;1;0;0;.;0;0;0;1;;;;;;;;;;;;
X11 = ;-X5 = ;-21779;43757;B11 =;-B5 =;1;0;1;0;.;1;0;1;0;.;1;1;1;0;.;1;1;0;1;;;;;;;;;;;;
X12 = ;-X6 = ;-17217;48319;B12 =;-B6 =;1;0;1;1;.;1;1;0;0;.;1;0;1;1;.;1;1;1;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Перенос;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;
;;;;B1(2);;0;0;0;0;.;0;1;1;0;.;0;0;1;1;.;0;0;1;1;;;;;;X1(2);;1587;;Результат корректный;;
;;;+;B2(2);;0;1;0;1;.;1;0;1;1;.;0;1;0;0;.;0;1;1;0;;;;;+;X2(2);;23366;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;0;0;1;1;0;.;0;0;0;1;.;0;1;1;1;.;1;0;0;1;(2) = ;24953;(10);;;;;24953;(10);;;
;;;;Доп код;;;;;;.;;;;;.;;;;;.;;;;;;;;;;;;;;;;
;;;;;;CF = ;;;0;;PF =;;;0;;AF = ;;;0;;ZF = ;;;0;;SF = ;0;OF =;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Перенос;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
;;;;B2(2);;0;1;0;1;.;1;0;1;1;.;0;1;0;0;.;0;1;1;0;;;;;;X2(2);;23366;;При сложении положитель-ных чисел получен отрицательный результат – ПЕРЕПОЛНЕНИЕ!;;
